market,step,txHash,explorerUrl,current_price,twav_price,collateral_locked,vtoken_supply,reserve_a,reserve_b,seq,sellA,amountIn,note
anthropic,lock,b15cd6d048304c9ade05fe36bb82c5d6279da9de0d4b66b6ffadd701d0657b34,https://preprod.cardanoscan.io/transaction/b15cd6d048304c9ade05fe36bb82c5d6279da9de0d4b66b6ffadd701d0657b34,1000000,1000000,0,0,10000000,10000000,0,,,initial
anthropic,oracle_1,a4e80d92dd3cbcd228e996bd027d122f8a5bf7bc6cff52d976958d6236073cb2,https://preprod.cardanoscan.io/transaction/a4e80d92dd3cbcd228e996bd027d122f8a5bf7bc6cff52d976958d6236073cb2,1010000,1010000,0,0,10000000,10000000,1,,,bump +1%
anthropic,mint,2c6034e8cdcab97d2bace4d439c43598039bd12068d287de983d391f8d4894ae,https://preprod.cardanoscan.io/transaction/2c6034e8cdcab97d2bace4d439c43598039bd12068d287de983d391f8d4894ae,1010000,1010000,5050,5000,10000000,10000000,2,,,qty=5000
anthropic,swap_1,0389c0da166602894b09bca762ca9fc20df9aece0124a28ab7c9712ae23be4df,https://preprod.cardanoscan.io/transaction/0389c0da166602894b09bca762ca9fc20df9aece0124a28ab7c9712ae23be4df,1010000,1010000,5050,5000,10008000,9992007,3,1,8000,pool trade
anthropic,redeem,7743d8340c107206afd568e341318615c1ab4740c45e055558e7f460f5707b4e,https://preprod.cardanoscan.io/transaction/7743d8340c107206afd568e341318615c1ab4740c45e055558e7f460f5707b4e,1010000,1010000,3030,3000,10008000,9992007,4,,,burn=2000
openai,lock,5e19c84ee7dd313a7f2c92a9fbf55b7b19eb0e3d0460da22f8acd1460c851692,https://preprod.cardanoscan.io/transaction/5e19c84ee7dd313a7f2c92a9fbf55b7b19eb0e3d0460da22f8acd1460c851692,1000000,1000000,0,0,10000000,10000000,0,,,initial
openai,oracle_1,f81c7037eb5945a645147094f2fccb0c5285044a2fabc7292aea5fb953311418,https://preprod.cardanoscan.io/transaction/f81c7037eb5945a645147094f2fccb0c5285044a2fabc7292aea5fb953311418,1010000,1010000,0,0,10000000,10000000,1,,,bump +1%
openai,mint,e297b02842166871f03507b41585ddb4ed50f43f38429b8383beb4ce4f9adfae,https://preprod.cardanoscan.io/transaction/e297b02842166871f03507b41585ddb4ed50f43f38429b8383beb4ce4f9adfae,1010000,1010000,5050,5000,10000000,10000000,2,,,qty=5000
openai,swap_1,2091531c02a5bcd3fb832f2bc9fe59774c9904369de0bdba4f24b416770c57f1,https://preprod.cardanoscan.io/transaction/2091531c02a5bcd3fb832f2bc9fe59774c9904369de0bdba4f24b416770c57f1,1010000,1010000,5050,5000,10008000,9992007,3,1,8000,pool trade
openai,redeem,adf0696d88c19146a8cc01c6f7a6aa773f356fea5c44d7d94ad940a738332933,https://preprod.cardanoscan.io/transaction/adf0696d88c19146a8cc01c6f7a6aa773f356fea5c44d7d94ad940a738332933,1010000,1010000,3030,3000,10008000,9992007,4,,,burn=2000
spacex,lock,9c0f3fcec7edb0cc0e5458b790015941a1895fce7abb8b73138b8abcbed39aaa,https://preprod.cardanoscan.io/transaction/9c0f3fcec7edb0cc0e5458b790015941a1895fce7abb8b73138b8abcbed39aaa,1000000,1000000,0,0,10000000,10000000,0,,,initial
spacex,oracle_1,544148d49c7fa3dd9c75a7e3da5608a9274de9461e6399c0ed396665f3a91f0a,https://preprod.cardanoscan.io/transaction/544148d49c7fa3dd9c75a7e3da5608a9274de9461e6399c0ed396665f3a91f0a,1010000,1010000,0,0,10000000,10000000,1,,,bump +1%
spacex,mint,7d274822e6092555f772bf2ae4da6f13d669c6d20598b16b5d7ca64eafb1b088,https://preprod.cardanoscan.io/transaction/7d274822e6092555f772bf2ae4da6f13d669c6d20598b16b5d7ca64eafb1b088,1010000,1010000,5050,5000,10000000,10000000,2,,,qty=5000
spacex,swap_1,9a884a1b9dc350b5c8aaf30a54c4c4b8d29cf8c36670231c000e249c293e8e58,https://preprod.cardanoscan.io/transaction/9a884a1b9dc350b5c8aaf30a54c4c4b8d29cf8c36670231c000e249c293e8e58,1010000,1010000,5050,5000,10008000,9992007,3,1,8000,pool trade
spacex,redeem,5ac137ac0ea90bf6c05a4c7ad111be1ef9c6506bd5dce2eb31276afad51f5b73,https://preprod.cardanoscan.io/transaction/5ac137ac0ea90bf6c05a4c7ad111be1ef9c6506bd5dce2eb31276afad51f5b73,1010000,1010000,3030,3000,10008000,9992007,4,,,burn=2000
